sample_id,group,pair_id
NNK16,NNK,16
NNK19,NNK,19
WT19,WT,19
NNK24,NNK,24
WT24,WT,24
NNK25,NNK,25
WT25,WT,25
NNK26,NNK,26
WT26,WT,26
NNK27,NNK,27
WT27,WT,27
NNK29,NNK,29
WT29,WT,29
NNK33,NNK,33
NNK6,NNK,6
WT6,WT,6
NNK7,NNK,7
WT7,WT,7
NNK18,NNK,18
WT18,WT,18
NNK31,NNK,31
WT31,WT,31
NNK32,NNK,32
WT32,WT,32
NNK39,NNK,39
WT39,WT,39
NNK40,NNK,40
WT40,WT,40
WT41,WT,41
NNK42,NNK,42
NNK43,NNK,43
WT43,WT,43
NNK48,NNK,48
WT48,WT,48
NNK8,NNK,8
WT8,WT,8
NNK9,NNK,9
WT9,WT,9
NNK11,NNK,11
WT11,WT,11
WT23,WT,23
NNK28,NNK,28
WT28,WT,28
NNK30,NNK,30
WT30,WT,30
