gene_symbol,mean_log2_NNK,mean_log2_WT,log2FC,statistic,p.value,p_adj
RP11-690G19.4,8.884842329307713,0.7528292011009579,8.132013128206754,26.377225686462598,3.6310128720521445e-28,6.211936821506809e-24
FOXI1,7.822740251925225,0.5343130682801577,7.288427183645068,26.93058838997058,3.4622512378710046e-27,2.9616097088748575e-23
CTD-2228K2.5,9.661828119639368,5.903841256212912,3.7579868634264564,23.084351372441308,7.493216872280091e-26,4.273131808365594e-22
RHCG,8.948874348685646,0.9405238836893653,8.00835046499628,27.94614368183211,1.2141936951110437e-25,5.193106433989934e-22
ATP6V1C2,8.43708545784164,3.5973551324407347,4.839730325400906,22.329759005621085,2.8460080435655605e-25,8.884662366907074e-22
RP11-386B13.4,6.168167501270619,0.47237806467176185,5.695789436598857,22.379575668867727,3.1159676292636456e-25,8.884662366907074e-22
AQP2,12.855809231734241,2.6994198115287014,10.15638942020554,25.493008610081358,5.571592253437565e-25,1.361697146740141e-21
SLC4A9,9.619705432440794,1.5960449640729235,8.02366046836787,21.80871473366192,7.657581860757583e-25,1.6375738809230092e-21
RP13-452N2.1,6.463168193360222,0.5355163506147572,5.9276518427454645,22.67495426996749,9.332195161783767e-25,1.7739466091977412e-21
MFSD4,10.735301389047354,4.964261322843784,5.77104006620357,21.054383684206844,3.2285428274496704e-24,5.523391069200896e-21
SERPINA6,5.898832184441883,0.28736036794942554,5.6114718164924575,22.182081239812984,1.2037381892674919e-23,1.8721411765443865e-20
CTB-27N1.1,9.373871723581086,1.2316169162057684,8.142254807375318,22.129907007135188,1.789426432701511e-23,2.5511256175547878e-20
GP2,9.937423994968755,1.2942788045858162,8.643145190382938,20.02879811648717,2.2011290673041114e-23,2.896685852572211e-20
EGF,12.70765430617945,4.680235911208978,8.027418394970471,22.108548670572514,2.85197640014157e-23,3.485115160972999e-20
KNG1,11.831670435442698,2.1212344696949867,9.710435965747712,20.491359643608583,6.52749438564253e-23,7.444824929971494e-20
CLCNKB,10.153702679243354,1.9997606995504915,8.153941979692863,20.07444570314969,1.129781787550977e-22,1.0737948234123397e-19
C16orf11,5.597145652136849,0.5678115043786216,5.029334147758227,19.189316160981665,1.052683641210194e-22,1.0737948234123397e-19
HSD11B2,11.173058573783205,5.580989779817857,5.592068793965348,25.955529853161668,1.1141560805035223e-22,1.0737948234123397e-19
UMOD,13.446436476955343,2.6798639298719613,10.766572547083381,19.241235142703662,2.209156711811353e-22,1.9891712118772965e-19
MST1L,10.496271583820063,3.6750379887327003,6.821233595087362,20.74403551126863,4.395422728579728e-22,3.726742765436854e-19
ANGPTL3,7.177987272323538,1.0566700272042338,6.121317245119304,18.51110119354325,4.574561496035418e-22,3.726742765436854e-19
DMGDH,9.293029999327677,5.534063367038258,3.758966632289419,18.604575225882815,6.537288888219473e-22,5.083633559075397e-19
SLC12A1,14.183149138573388,4.743725223733804,9.439423914839583,20.129683046636842,1.0186915508333106e-21,7.577293500720121e-19
CYP4A11,10.188233119509912,1.7026038689781877,8.485629250531725,18.50366023887381,1.1267362231419452e-21,8.031751377296833e-19
INPP5J,8.463815872806098,4.163980535332306,4.299835337473792,17.849677273620454,2.0230709160548206e-21,1.384427889274635e-18
LDHD,7.6287430577353135,2.5523902345663614,5.076352823168952,17.833958714538205,9.791307314049069e-21,6.442680212644287e-18
SLC6A19,10.302823358481515,1.689120839136165,8.613702519345349,17.119348390478663,3.7119353820174164e-20,2.3519922413168135e-17
HEPACAM2,6.521423021960421,1.1152839643494603,5.40613905761096,19.31427459498627,3.94733169816635e-20,2.4118196675796396e-17
CYFIP2,12.78319316667406,9.097380939586932,3.685812227087128,16.9447612312382,4.207909565175303e-20,2.4823764427937613e-17
MMP16,4.964186003245783,10.053870989396227,-5.089684986150444,-16.5188216511377,5.282180683950387e-20,2.915082165839459e-17
USP2,9.785883994541795,5.032623811670802,4.753260182870993,16.393386740046154,5.217851199359508e-20,2.915082165839459e-17
HRG,6.642861624685746,0.6100938530078551,6.03276777167789,16.444390235245216,5.855437164242506e-20,3.13046309393315e-17
CLCNKA,10.191011511210903,2.1016084473165475,8.089403063894355,16.592787625299934,6.946603566059396e-20,3.6012876911558826e-17
RP5-952N6.1,5.780853124145579,0.7390257288131787,5.0418273953324,15.880671788027618,1.3436629960510533e-19,6.76099604012983e-17
PBLD,9.930428781138431,6.645557438977524,3.2848713421609075,16.40293345058769,1.6001952750039063e-19,7.821754504219095e-17
UPB1,8.773139047117551,3.7167870046309814,5.056352042486569,16.10037843406071,2.385838868005926e-19,1.1338036487179274e-16
RP11-61L19.2,4.678650661954032,0.5898763601590871,4.088774301794945,15.728617253931077,2.9780728252791603e-19,1.376996483645294e-16
PRR11,4.037640875985095,6.682561517900287,-2.644920641915192,-15.498193972058408,3.3124770903070857e-19,1.491312054236148e-16
AL138847.1,4.290922219055062,0.5747207358988511,3.716201483156211,15.579381721594924,3.413523454230429e-19,1.4973989552557482e-16
SLC22A2,9.462418191350025,2.2898191927080114,7.172598998642014,18.376761067183025,3.5539095878736935e-19,1.5200071307335786e-16
LINC00982,10.68265524470423,2.507466951583902,8.175188293120328,17.665744591363097,4.901403742982547e-19,1.9965051246415574e-16
TMEM174,7.316460771652076,0.6252221591892485,6.691238612462827,17.994717538784034,4.821451048706887e-19,1.9965051246415574e-16
TMEM27,8.315601511844735,3.2392071225476124,5.076394389297122,15.384189442664384,5.905276506847063e-19,2.349476057654408e-16
CWH43,6.886673720531108,1.0502983154747674,5.836375405056341,18.67164547156901,6.503705400661513e-19,2.528758908966299e-16
SLC12A3,11.217241882692328,3.188845396187853,8.028396486504475,16.147206187756634,6.949369290823067e-19,2.6419957739422456e-16
MIOX,10.520717193399268,1.7224704055967717,8.798246787802496,16.69569547136185,8.190643741388331e-19,3.046207241905904e-16
ALDOB,12.475266322644988,3.0647528922941096,9.410513430350878,14.990029229280669,1.3223702617791284e-18,4.813427752876028e-16
CRHBP,7.33867490575176,3.61293496738019,3.72573993837157,15.948573618447398,1.4916930148121836e-18,5.3166425202930915e-16
SLC9A3,9.855455016526271,2.302140847633111,7.55331416889316,14.911081555200456,1.6901132722521382e-18,5.782891572337916e-16
CRYL1,9.506145649572444,6.358105738218857,3.148039911353587,17.157589854346032,1.6736413447433528e-18,5.782891572337916e-16
FKBP10,5.805839705040068,8.45570218188842,-2.6498624768483516,-15.072554087445807,1.8068824817452302e-18,5.944643364941808e-16
PPARA,10.659453877308271,8.421333183598135,2.2381206937101368,14.840451458762715,1.7866834708334136e-18,5.944643364941808e-16
RP4-541C22.5,5.3016299755028795,0.9831525736399822,4.318477401862897,17.05848459960778,2.0331873774974326e-18,6.56297540645775e-16
SLC34A1,10.48515767016906,1.4700671865246016,9.015090483644459,15.571108108552677,2.316951299911829e-18,7.340444970165106e-16
GBA3,8.610001338361295,2.075411811818114,6.534589526543181,16.31644601684478,2.378683322894755e-18,7.399002597833358e-16
MPC1,9.320746066228997,6.784882354949676,2.5358637112793208,15.226198185654521,2.4625097812752627e-18,7.522967381795927e-16
LINC00671,7.534787004709459,1.126343885267233,6.408443119442226,14.992762310368297,2.5945867653475643e-18,7.787401821327392e-16
CYB5A,9.825415184762432,7.194387793122694,2.631027391639739,15.18445767201767,3.247007837902321e-18,9.577553463936708e-16
SERPINA5,9.102155617951064,2.4890536783690815,6.613101939581982,18.903068552988607,3.697638326737689e-18,1.0543199415638065e-15
ACSM2B,10.690994316808471,2.9117529637971726,7.779241353011298,14.6701369557311,3.641244660099574e-18,1.0543199415638065e-15
PCK1,11.69351503500134,4.017798544780515,7.675716490220825,14.485587376069828,3.82081129339567e-18,1.0715809771707068e-15
ECHDC3,7.196079707164683,4.111380099626919,3.0846996075377646,14.697604693594018,3.911899588721862e-18,1.0794319058686068e-15
CTSL3P,5.460309034273011,0.2538619318509616,5.206447102422049,16.62609225775776,4.07013192001031e-18,1.1052669347227997e-15
KL,10.783621925324894,5.527955210326373,5.2556667149985214,14.81426053352907,4.249248190218218e-18,1.1358771568477074e-15
RP11-379F12.4,5.162167853135739,0.6720288566162509,4.490138996519488,15.22803742550532,4.741002801978428e-18,1.2478319374807223e-15
PDZK1,9.156561716495627,3.235074603853502,5.921487112642126,16.008865562187502,5.354436363620615e-18,1.3879348077094161e-15
ACSM2A,10.946133986681042,2.9920237642935237,7.954110222387518,14.289766607311595,6.379423598052008e-18,1.6049879252275553e-15
SMIM5,7.409019691247731,2.940549716591883,4.468469974655848,15.163530430253118,6.377329304087816e-18,1.6049879252275553e-15
CEP170,9.20433439630977,10.836046769295981,-1.631712372986211,-14.325306679136807,6.901732368000981e-18,1.68678339073944e-15
CALB1,9.688571473783242,1.808542130181492,7.88002934360175,15.463259322815615,6.8253591999536975e-18,1.68678339073944e-15
DCXR,8.830070854401177,6.052596481261328,2.7774743731398486,14.656379723131934,7.787883594412888e-18,1.8765508807495168e-15
SLC13A1,9.189490394204938,2.0377501109592884,7.151740283245649,14.226877786763911,8.242235606546542e-18,1.9383848048964148e-15
ADORA2A-AS1,6.560253896400044,1.417426297158896,5.142827599241148,14.174707357325826,8.271106544157019e-18,1.9383848048964148e-15
ALDH4A1,8.314598220293965,4.190189754694132,4.124408465599832,15.373729821130791,8.683903503163745e-18,2.007624609893586e-15
KCNQ1,8.015507212239639,5.454383539163307,2.561123673076332,14.273986985326504,8.862694064810015e-18,2.021639600810263e-15
PVALB,6.072122233213346,1.4381390009669046,4.633983232246441,14.166668340401197,1.1318238267243918e-17,2.5477950036316965e-15
GIPC2,8.253272433018605,4.065532721137801,4.187739711880804,14.248039237670186,1.1503441569775171e-17,2.555855563320956e-15
TMEM61,5.287039659943461,1.2507514122747876,4.036288247668673,15.862482117767755,1.2622540375811857e-17,2.768543855761401e-15
OLFML2B,5.6782934722903,9.415330972292299,-3.737037500001999,-14.71518793993083,1.3423024674768887e-17,2.9068494447588117e-15
TINAG,8.30274970645657,1.4852378015375176,6.817511904919052,14.000290061065797,1.3823528030648914e-17,2.95616146935427e-15
PTGFRN,7.658779678639813,9.958764367589184,-2.2999846889493716,-14.285744627707762,1.485788754416109e-17,3.1381325938951596e-15
RNU6-35P,5.244435789164886,0.5531784091564688,4.691257380008417,15.26748633394352,1.5542957427345898e-17,3.203721875506429e-15
FUT6,9.03632532283025,1.9620606531464704,7.074264669683779,14.069685458510278,1.547454947030147e-17,3.203721875506429e-15
MST1P2,8.229751122512033,4.020125963573775,4.209625158938258,14.101063322262073,2.038901157366402e-17,4.152562023836239e-15
ACAT1,10.051406407972612,7.314977206240393,2.7364292017322196,15.022725419144917,2.0637830890780456e-17,4.153788363287906e-15
BHMT2,10.226377326395449,3.8622123630562375,6.364164963339212,17.334294566402043,2.1144892010394564e-17,4.206358285044537e-15
CLDN8,9.90551548548612,2.352150538340451,7.553364947145669,14.807740655471038,2.194433719979433e-17,4.31521518177105e-15
SH3PXD2B,6.624572806974617,9.344320930840546,-2.719748123865929,-15.133864952444739,2.333503318923473e-17,4.536542588652588e-15
AMN,8.769533503212479,2.778426266555502,5.991107236656976,13.771734149350614,2.4222802199393153e-17,4.656221348620428e-15
ACE2,8.238329195674986,2.716657444403762,5.521671751271224,13.74784193752155,2.4643388081504646e-17,4.684434258870905e-15
GOT1,9.435848567277255,7.076200610110561,2.3596479571666933,15.783014299802865,3.016750104043283e-17,5.6714901956013725e-15
SLC22A6,9.116748957603285,1.2211771067108883,7.895571850892397,14.740129956029653,3.258183485539261e-17,6.058804681587573e-15
CYP4A22,6.996061895129834,1.1122333190831633,5.883828576046671,13.98658168420467,3.3459835243155833e-17,6.089690014254361e-15
BHMT,10.487825578367753,3.129360248324437,7.358465330043316,13.777102681791114,3.3396308345834686e-17,6.089690014254361e-15
RBP1,6.3557491407763935,9.129597643678325,-2.7738485029019317,-14.175708767748135,3.386112980016253e-17,6.097854827591374e-15
CPXM1,6.887904021757506,9.923392458440967,-3.035488436683461,-13.61386417062538,3.539084198961638e-17,6.306942966232886e-15
PEBP1,11.261078324193715,9.192052469742167,2.0690258544515476,13.67137865086822,3.6658781096041245e-17,6.465550793722409e-15
TMEM213,10.794363202936816,2.5302702838901707,8.264092919046647,18.12546922719158,3.7894806314355225e-17,6.548528751777668e-15
SMIM2-AS1,6.006642325163989,2.1386194158457674,3.868022909318222,14.23146950464995,3.778299886909848e-17,6.548528751777668e-15
AQP3,10.23750039792772,4.6856929492288195,5.5518074486989,15.257438237154593,3.883086757628428e-17,6.643184824950715e-15
ALDH1L1,9.571605320141408,3.1895865433213375,6.382018776820071,14.260580494715452,5.224213775399021e-17,8.849093987081827e-15
MUC15,8.475861400703524,1.7018547810771263,6.774006619626397,13.911837601362926,5.68505610910886e-17,9.535288226924939e-15
LRP2,13.06534447010963,7.001291319587489,6.064053150522142,13.346120545765755,6.974279183282049e-17,1.1584074589086338e-14
DEFB1,10.387269332075919,2.614102641151402,7.7731666909245165,15.476447163385373,7.307053560863922e-17,1.2020103107621151e-14
ACO2,10.581348500466968,8.931732082121124,1.6496164183458433,13.72811978451676,7.454681558730393e-17,1.214616115302472e-14
FAM131C,4.44628276193545,0.824058318952044,3.622224442983406,13.580603231909015,7.778112480916429e-17,1.2553580030520591e-14
HGD,8.880591647909046,3.697718867020171,5.182872780888875,15.449743642932761,8.286858662139003e-17,1.3249680186156455e-14
ARG2,10.000415678724378,5.308996897895674,4.6914187808287044,14.28246397830953,8.575394899342312e-17,1.358406073499521e-14
FAM195A,7.456731693138465,4.71548310060854,2.7412485925299253,13.266847962015898,1.0362030954918591e-16,1.626363537401351e-14
CA12,12.493362098132634,7.526816335300999,4.966545762831635,15.677789142505144,1.0777614789721254e-16,1.6762130347504655e-14
KIF1A,2.917569443661332,8.352329930455955,-5.434760486794623,-13.49888007188372,1.1673296321295549e-16,1.799159941123642e-14
PAH,10.506638671941072,2.05124942742898,8.455389244512093,13.78902839873472,1.217479961684646e-16,1.8597006414732965e-14
MARCKS,9.037086177836374,11.13289729877365,-2.0958111209372756,-13.4461902923161,1.2904852018623526e-16,1.9537717551735513e-14
MDK,6.241008566740225,9.930939741325941,-3.689931174585716,-13.871789315308067,1.363086374696723e-16,2.045586113886977e-14
PDHA1,9.927076641692082,8.659899642560392,1.2671769991316904,13.445382322077755,1.5930419983497255e-16,2.3698923919797484e-14
CEACAM1,8.974577093570963,4.917917272970115,4.0566598206008475,16.87594886844391,1.9608812582572597e-16,2.891961772953896e-14
VASH2,4.064510261827904,9.017767168506895,-4.953256906678991,-12.96214170633208,2.0106208748818674e-16,2.939974523716153e-14
SLC30A2,5.848746918966851,0.8733781418545803,4.975368777112271,13.055025894970411,2.2125865996678436e-16,3.207875554840464e-14
GLYAT,9.158866539406795,2.5923294519065827,6.566537087500212,12.90761501658349,2.332501917461768e-16,3.353314521339153e-14
F11,8.992674184881567,2.1654042604667167,6.82726992441485,13.88024398875249,2.3925764361153834e-16,3.411016472421832e-14
PLIN5,6.589124945145875,2.1279397366816335,4.461185208464242,13.744669368764079,2.4719035328865123e-16,3.494985590134087e-14
FN3K,8.51098330556425,5.335572493377247,3.175410812187004,12.85523398957885,2.6343836423167284e-16,3.694183225635622e-14
ATP1A1,13.895522293221434,11.070594378689847,2.824927914531587,13.404539222366102,3.069813684260632e-16,4.2353526218008786e-14
EMX1,8.744246466898874,1.7878127754634048,6.956433691435469,13.132781991850608,3.058908933295229e-16,4.2353526218008786e-14
RP1-60O19.1,7.298570853260183,1.4393422833015044,5.859228569958679,14.824624564351145,3.4064503163885294e-16,4.63612327311287e-14
AQP7,6.756885395451008,2.188060790307319,4.568824605143689,14.707165283616737,3.414493409002932e-16,4.63612327311287e-14
SLC22A24,5.701515532851184,0.6765532054140198,5.024962327437164,12.877094209438342,3.469526628259556e-16,4.673752878446023e-14
CCDC64,10.519259182219356,5.969242343774125,4.550016838445231,14.303683794021293,3.7341383871918683e-16,4.9909093381311315e-14
RASD1,10.493650158768391,5.5808957714539735,4.9127543873144175,14.471279983000787,3.864922103412371e-16,5.1256656856727786e-14
DUSP9,6.747432280193926,1.6716934234178147,5.075738856776111,13.815396341277097,4.640498774300369e-16,6.106896386979285e-14
AGMAT,8.364787408887599,2.2137138111448444,6.151073597742755,13.617935902056432,4.714868711913982e-16,6.15740258957438e-14
SLC5A10,7.574923978907027,1.6253111545172292,5.949612824389797,12.875639767280921,4.855128693749935e-16,6.29254103732378e-14
EHHADH,9.312195446641539,6.727400029403996,2.584795417237543,13.579108571453286,5.021362308574501e-16,6.45905762218741e-14
AC009061.1,7.885883805610814,3.284235289439135,4.601648516171679,12.63539456465094,5.067643167597454e-16,6.469943232183377e-14
