gene_symbol,mean_log2_NNK,mean_log2_WT,log2FC,statistic,p.value,p_adj
TP53,7.404,8.406,-1.003,-6.814,2.476e-8,2.39e-7
NF1,11.4,11.95,-0.5542,-5.34,1.27e-5,5.835e-5
RB1,9.393,10.05,-0.6607,-4.756,2.608e-5,1.102e-4
EGFR,10.55,9.37,1.177,4.154,2.975e-4,9.558e-4
PTEN,10.49,10.93,-0.4366,-3.471,0.001225,0.003295
MYCN,5.627,6.861,-1.234,-2.641,0.01271,0.02545
KRAS,8.654,9.1,-0.4455,-2.597,0.01348,0.02676
FLI1,7.976,8.096,-0.1203,-0.7061,0.4851,0.566
WT1,7.795,8.248,-0.4535,-0.6389,0.5282,0.6061
EWSR1,10.78,10.82,-0.03812,-0.3407,0.7352,0.7905
