sample_id,log2_count,group,pair_id,simulated_time_months,simulated_event,expr_group
NNK16,7.05528243550119,NNK,16,17.438027385678385,1,High
NNK19,10.487840033823051,NNK,19,1.083181420533351,1,High
WT19,0,WT,19,7.829595266055088,1,Low
NNK24,7.721099188707185,NNK,24,0.7321602066820656,1,High
WT24,0,WT,24,0.518989737668275,1,Low
NNK25,8.174925682500678,NNK,25,17.421775257455607,1,High
WT25,0,WT,25,36,0,Low
NNK26,9.894817763307943,NNK,26,1.5632217773328434,1,High
WT26,0,WT,26,36,0,Low
NNK27,8.832890014164741,NNK,27,6.238800672094943,1,High
WT27,1,WT,27,36,0,Low
NNK29,9.278449458220482,NNK,29,36,0,High
WT29,0,WT,29,36,0,Low
NNK33,9.879583249612784,NNK,33,16.163448749107154,1,High
NNK6,8.422064766172813,NNK,6,2.837113446845973,1,High
WT6,0,WT,6,36,0,Low
NNK7,9.679480099505446,NNK,7,17.028328384426587,1,High
WT7,0,WT,7,15.869373223956003,1,Low
NNK18,9.954196310386875,NNK,18,6.520698415510665,1,High
WT18,2,WT,18,1.5972273284558118,1,Low
NNK31,7.491853096329675,NNK,31,0.08773063704460865,1,High
WT31,0,WT,31,5.557592239020046,1,Low
NNK32,8.832890014164741,NNK,32,2.9754678041000604,1,High
WT32,1,WT,32,36,0,Low
NNK39,7.011227255423254,NNK,39,4.5339618735794724,1,Low
WT39,1,WT,39,0.9820844660108643,1,Low
NNK40,8.330916878114618,NNK,40,1.8477441724326042,1,High
WT40,1,WT,40,32.84698698518679,1,Low
WT41,2.807354922057604,WT,41,10.314939061034472,1,Low
NNK42,10.276124405274238,NNK,42,12.848047466022532,1,High
NNK43,10.184875342908283,NNK,43,16.384568912167985,1,High
WT43,3.169925001442312,WT,43,11.989226160693097,1,Low
NNK48,9.501837184902296,NNK,48,26.431443659684476,1,High
WT48,1,WT,48,36,0,Low
NNK8,7.954196310386875,NNK,8,36,0,High
WT8,1,WT,8,6.373392383793128,1,Low
NNK9,8.74819284958946,NNK,9,36,0,High
WT9,0,WT,9,21.415843077911184,1,Low
NNK11,9.57742882803575,NNK,11,0.4805546539584949,1,High
WT11,0,WT,11,36,0,Low
WT23,2.584962500721156,WT,23,36,0,Low
NNK28,8.016808287686555,NNK,28,1.909929403764559,1,High
WT28,0,WT,28,36,0,Low
NNK30,9.044394119358454,NNK,30,5.6341359379703935,1,High
WT30,0,WT,30,36,0,Low
